section,section_id,change_type,similarity,html_text,txt_text
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,And Avram listened to the voice of Sarai.
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,"3 And Sarai, the wife of Avram took Hagar, her Egyptian slave-girl,"
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,"at the end of ten years of Avram dwelling in the land of Canaan,"
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,and she gave her to Avram her husband as a wife.
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,"4 And he went into Hagar and she became pregnant,"
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,"and she saw that she was pregnant,"
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,and her mistress became cursed in her eyes.
Why Study the Melody,why-study-the-melody,modified,0.03,"...2 and Yahweh caused to fall a deep sleep on the human and he slept and he took one from his sides and he closed the flesh of its place and Yahweh built the side which he took from the human into woman, and he brought her to the human",...
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,2 and Yahweh caused to fall a deep sleep on the human and he slept
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,and he took one from his sides
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,and he closed the flesh of its place
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,"2 and Yahweh built the side which he took from the human into woman,"
Why Study the Melody,why-study-the-melody,added_in_txt,0.00,,and he brought her to the human
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,modified,0.61,Genesis1:1 - 2:3,Genesis
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,added_in_txt,0.00,,1:1 - 2:3
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,modified,0.88,"After the seven-word Hebrew title of Genesis 1:1, we read about the precreation state of watery chaos, a standard image for nothing at that point in history. However, with the presence of Elohim about to act, hovering as Ruakh over the face of the waters, we have hope. Elohim speaks to create light and divides those chaos waters to bring order to the sea, sky, and land in Days 1-3. He then fills those spaces with inhabitants in Days 4-6, starting with the lights in the sky, which are called signs. He makes living beings to fill those spaces, giving them a blessing to be fruitful and multiply. Ultimately, God creates the human in His image, male and female He created them, which He sees as ""very good."" Finally, on the 7th day, God rests, i.e., takes up residence and rules without conflict. In the imagination of the Ancient Near East, when a ruler rests, it is a time of shalom, peace within the land. We know this story well, thinking of it as a one-time creation event, but we need to keep reading to realize that creation is a cycle. It will repeat!3Still in the Creation section, Genesis 2:4-6 offers another perspective of non-life, a barren desert without water. God brings about life first via a stream, then the human, and finally trees, all in fun Hebrew wordplay. Again, God's life is present, gently breathing the breath of life into the human.","After the seven-word Hebrew title of Genesis 1:1, we read about the precreation state of watery chaos, a standard image for nothing at that point in history. However, with the presence of Elohim about to act, hovering as Ruakh over the face of the waters, we have hope. Elohim speaks to create light and divides those chaos waters to bring order to the sea, sky, and land in Days 1-3. He then fills those spaces with inhabitants in Days 4-6, starting with the lights in the sky, which are called signs. He makes living beings to fill those spaces, giving them a blessing to be fruitful and multiply. Ultimately, God creates the human in His image, male and female He created them, which He sees as ""very good."" Finally, on the 7th day, God rests, i.e., takes up residence and rules without conflict. In the imagination of the Ancient Near East, when a ruler rests, it is a time of shalom, peace within the land. We know this story well, thinking of it as a one-time creation event, but we need to keep reading to realize that creation is a cycle. It will repeat!3"
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,added_in_txt,0.00,,"Still in the Creation section, Genesis 2:4-6 offers another perspective of non-life, a barren desert without water. God brings about life first via a stream, then the human, and finally trees, all in fun Hebrew wordplay. Again, God's life is present, gently breathing the breath of life into the human."
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,modified,0.58,Genesis4:1 - 6:12,Genesis
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,added_in_txt,0.00,,4:1 - 6:12
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,modified,0.58,Genesis6:1 - 7:24,Genesis
Genesis 1-7: The Melody Template,genesis-1-7-the-melody-template,added_in_txt,0.00,,6:1 - 7:24
Genesis 1-7: Pattern Breakers!,genesis-1-7-pattern-breakers,modified,0.83,"2 and to Seth, to him also a son (yalad ben) was born;","2 and to Seth, to him also a son was born (yalad ben);"
Genesis 1-7: Pattern Breakers!,genesis-1-7-pattern-breakers,modified,0.80,"If these phrases were used only in this verse, the mystery would be impossible to unravel, but that's not how the Bible works. The authors slowly revealed additional information as stories repeat to invite hearers to become active participants in receiving truth. For example, these subtle word choices will echo not just in chapter 4, but throughout Scripture. To conceive is not a 100% match for pending great anguish, but it's a hint used more than a few times. Consider: Avram and Hagar conceive, Genesis 16:4, but Avraham and Sarah conceive and bear a son, 21:2. David and Bathsheba conceive, 2 Samuel 11:5, but later bear a son, 12:24. With these patterns in mind, we return to Genesis, where Seth and Enosh are on God's chosen path. Let's see how God will work through these pattern breaker choices in the generations that follow.","If these phrases were used only in this verse, the mystery would be impossible to unravel, but that's not how the Bible works. The authors slowly revealed additional information as stories repeat to invite hearers to become active participants in receiving truth. For example, these subtle word choices will echo not just in chapter 4 with Eve herself, but throughout Scripture. To conceive is not a 100% match for pending great anguish, but it's a hint used more than a few times. Consider: Avram and Hagar conceive, Genesis 16:4, but Avraham and Sarah conceive and bear a son, 21:2. David and Bathsheba conceive, 2 Samuel 11:5, but later bear a son, 12:24. The later stories inform the earlier Genesis 3:1 mystery. These authors have crafted for you an experience to come to know the Lord. It is a carefully curated, deliberate choice in the design of this text which slowly explains itself if you work to receive it. Think of it like a quest that reveals truth. With these patterns in mind, we return to Genesis 4:25-26, where Seth and Enosh are on God's chosen path. They are sons (think John 1:12) who experience only necessary labor pains. Let's see how God will work through these pattern breaker choices in the generations that follow."
Genesis 8-11: Pattern Breakers!,genesis-8-11-pattern-breakers,modified,0.95,"Who are the pattern breakers in the second round of the melody and how will God preserve life through them? It is a shorter melody, so there are fewer pattern breakers, but we still see a few. We have Noah who builds an altar and makes a going-up offering to Yahweh. Yahweh smells the soothing smell and responds in blessing. This sacrifice note is mirrored in other rounds of the melody in creative ways. The next pattern breakers are Shem and Japheth. They do the opposite of Ham and cover their father's nakedness. This time, not seeing their father's nakedness is simple and literal. These authors use clever wordplay even when the subject matter makes us feel uncomfortable","Who are the pattern breakers in the second round of the melody and how will God preserve life through them? It is a shorter melody, so there are fewer pattern breakers, but we still see a few. We have Noah who builds an altar and makes a going-up offering to Yahweh. Yahweh smells the soothing smell and responds in blessing. This sacrifice note is mirrored in other rounds of the melody in creative ways. The next pattern breakers are Shem and Japheth. They do the opposite of Ham and cover their father's nakedness. This time, not seeing their father's nakedness is simple and literal. These authors use clever wordplay even when the subject matter makes us feel uncomfortable. Subtle symmetries, through repeated words, help readers see the inversion."
Genesis 8-11: Pattern Breakers!,genesis-8-11-pattern-breakers,removed_from_txt,0.00,"Subtle symmetries, through repeated words, help readers see the inversion.",
Genesis 11:27-22:19: Cycles Three to Seven with Avraham,genesis-11-27-cycles-three-to-seven-with-avraham,modified,0.97,And Haran died before his father Terakh,* And Haran died before his father Terakh
Genesis 11:27-22:19: Cycles Three to Seven with Avraham,genesis-11-27-cycles-three-to-seven-with-avraham,modified,0.97,"And Sarai was barren, she had no child","* And Sarai was barren, she had no child"
Genesis 11:27-22:19: Cycles Three to Seven with Avraham,genesis-11-27-cycles-three-to-seven-with-avraham,modified,0.96,And Terakh died in Haran,* And Terakh died in Haran
Genesis 11:27-22:19: Cycles Three to Seven with Avraham,genesis-11-27-cycles-three-to-seven-with-avraham,modified,0.97,"Hagar #2: Hagar is this time sent into the wilderness with Ishmael, her, most likely, 1 year old boy lad, the Hebrew word na'ar. She is a slave-girl no longer and has her son with her, but the water runs dry and death seems inevitable. Does this remind you of Genesis 2:5, a lifeless desert with no water? But Elohim listens to the voice of the na'ar (a fun wordplay on the meaning of Ishmael's name), converting Collapse into Creation once more. The turning point is a messenger of Elohim calling to Hagar from the skies. Hagar is told not to be afraid, but to 'get up' and take the lad with her hand. Elohim will make him into a great nation. Sound familiar? Elohim opened her eyes and she saw a well of water at Beer Sheva, the Well of Seven. She fills the water skin and she gives life to the lad as well. Not a single word is unimportant to these authors as Hagar, the non-choosen, becomes an unexpected partner in creation, life, and blessing.","Hagar #2: Hagar is this time sent into the wilderness with Ishmael, her, most likely, 1 year old boy lad, the Hebrew word na'ar. She is a slave-girl no longer and has her son with her, but the water runs dry and death seems inevitable. Does this remind you of Genesis 2:5, a lifeless desert with no water? But Elohim listens to the voice of the na'ar (a fun wordplay on the meaning of Ishmael's name), converting Collapse into Creation once more. The turning point is a messenger of Elohim calling to Hagar from the skies. Hagar is told not to be afraid, but to 'get up' and take the lad with her hand. Elohim will make him into a great nation. Sound familiar? The same promise was given to Avram. Elohim opened her eyes and she saw a well of water at Beer Sheva, the Well of Seven. She fills the water skin and she gives life to the lad as well. Not a single word is unimportant as Hagar, the non-choosen, becomes an unexpected partner in creation, life, and blessing."
The Seventh Collapse: Avraham's Test,the-seventh-collapse,modified,0.93,In the text below the name Isaac is written as Yitskhaq to help us more accurately pronounce the original Hebrew.,In the text below the name Isaac is written as Yitskhaq to help us more faithfully pronounce the original Hebrew name.
The Seventh Collapse: Avraham's Test,the-seventh-collapse,modified,0.89,Collapse,[Collapse]
The Seventh Collapse: Avraham's Test,the-seventh-collapse,modified,0.00,Creation,________________
The Seventh Collapse: Avraham's Test,the-seventh-collapse,added_in_txt,0.00,,[Creation]
The Seventh Collapse: Avraham's Test,the-seventh-collapse,modified,0.97,"The hyperlinks from Genesis 2 to Jesus are impossible to miss. It is a test for both the father and the son. However, they traveled together perfectly aligned, both before and after all the details are known. The phrase ""and the two of them went, together-as-one"" is repeated three times (yachad in Hebrew). Isaac put the wood on his back and walked with his father at the same physical place where Jesus will later be lifted up on the cross. Keep in mind that all of this was written hundreds of years before Jesus ever walked the earth. That's worth a long walk and a cup of tea. Finally, Avraham's collapse and Jesus' collapse end the same way, the son is returned to life. Avraham is revealed. Elohim sees. And a going-up offering of a ram substitutes for Avraham's offspring. As always, God makes sure that creation, life, and blessing have the final say over a collapse.","The hyperlinks from Genesis 2 to Jesus are impossible to miss. It is a test for both the father and the son. However, they traveled together perfectly aligned, both before and after all the details are known. The phrase ""and the two of them went, together-as-one"" (yachad in Hebrew) is repeated three times. Isaac put the wood on his back and walked with his father at the same physical place where Jesus will later be lifted up on the cross. Keep in mind that all of this was written hundreds of years before Jesus ever walked the earth. That's worth a long walk and a cup of tea. Finally, Avraham's collapse and Jesus' collapse end the same way, the son is returned to life. Avraham is revealed. Elohim sees. And a going-up offering of a ram substitutes for Avraham's offspring. As always, God makes sure that creation, life, and blessing have the final say over a collapse."
Seeing the Melody in the New Testament,seeing-the-melody-in-the-new-testament,modified,0.82,"As for me, when this really sank in, it made me want to be a pattern breaker and join God's story. I've carefully read, reflected on, and discussed His Word. I've been promised that it is possible to help bring life. I Choose to live in right relationship with Yahweh. Now, how do I do it? How can I receive the Spirit, partner with God, and bring about creation, life, and blessing in my generation? It sounds complex, but it's actually easy,... trust Jesus.","As for me, when this really sank in, it made me want to be a pattern breaker and join God's story. I've carefully read, reflected on, and discussed His Word. I now see myself within this grand message of hope and love. I've been promised that it is possible to help bring life. I choose to live in right-relationship with Yahweh. I am part of Avraham's seed and want to do my part in bringing blessing to the nations. Now,... how do I do it? How can I receive the Spirit, partner with God, and bring about creation, life, and blessing in my generation? It sounds complex, but the first step is actually easy,... trust Jesus, listen to His voice."
Seeing the Melody in the New Testament,seeing-the-melody-in-the-new-testament,modified,0.84,"Jesus prayed aloud His plan for us during the Last Supper, recorded in John 17:20-26. Life is an intentional choice to be united through love with God and His images. Jesus knew that we needed encouragement to avoid the Division of Relationships. He had seen the Bible's message play out in his generation, just like us. Perfect unity through abiding (meno) love between all the images of God, the Father, and the Son. Everything else in the Bible is an implementation detail of that simple, primary premise. We have to choose unity in Jesus to avoid the characteristic human cycle. That plan also reminds me of something we like to say at BibleProject:","No word from the Lord is unimportant, so it's wise to study the New Testament even more diligently than the Old. When studying His word you'll find advice/commands for life and see the path Jesus laid out for his followers for then and now. For example, Jesus prayed aloud His plan for us during the Last Supper, recorded in John 17:20-26. Life is an intentional choice to be united through love with God and His images. Jesus knew that we needed encouragement to avoid the Division of Relationships. He had seen the Bible's message play out in his generation, just like us. Perfect unity through abiding (meno) love between all the images of God, the Father, and the Son. Everything else in the Bible is an implementation detail of that simple, primary premise. We have to choose unity in Jesus to avoid the characteristic human cycle. That plan also reminds me of something we like to say at BibleProject:"
Beyond Genesis 22: After the Sheva Cycle,beyond-genesis-22,modified,0.94,"And the story keeps going after Genesis 23. The eighth melody cycle ends with Avraham's death and the scattering of his various sons. He takes a third wife and has six more sons in chapter 2 (oh my). The biblical authors aren't selling ""happily ever after"" stories; they are communicating the choices we humans make and how God works through it all (consider Jacob!). After Avraham is ""gathered to his people"" in 25:8, the melody continues generation after generation with Rivqah (Rebecca) and Isaac, then Jacob and Esau, Judah and Joseph, and on into our lives.","And the story keeps going after Genesis 23. The eighth melody cycle ends with Avraham's death and the scattering of his various sons. He takes a third wife and has six more sons in chapter 2 (oh my). The biblical authors aren't selling ""happily ever after"" stories; they are communicating the choices we humans make and how God works through it all (consider Jacob!). After Avraham is old and complete (sheva), he is ""gathered to his people"" in 25:8. The melody, however, continues generation after generation with Rivqah (Rebecca) and Yitskhaq (Isaac), then Jacob and Esau, Judah and Joseph, and on into our lives."
Extra Sheva Observations,extra-sheva-observations,modified,0.64,"To bring this discussion full circle, let's return to Genesis once more to see evidence that these authors, with the help of the Spirit, already realized the significance of this forward pointing message from Genesis 22. Of course, they wouldn't have known all of God's plan, but they were guided into making a forward pointing story throughout the Hebrew Bible. This becomes quite obvious in the Prophets later, but Jesus said this whole story is about Him.","To bring this discussion full circle, let's return to Genesis once more to see evidence that these authors, with the help of the Spirit, already realized the significance of this forward pointing message in Genesis 21-22."
Extra Sheva Observations,extra-sheva-observations,modified,0.56,"Throughout Scripture the authors regularly highlight the most important concept of a literary unit by using key repeated words, known as lead words. In this seventh cycle of the melody, which goes from the voice in the sky bringing life to Hagar and Ishmael, through the binding of Isaac, the primary lead word is clearly sheva. It is the seventh, sheva, round of the melody if you've been counting since page one. Yes, these authors do crazy things like that! It is the highly structured Word of God given to us by humans working with the Spirit after all.1","Throughout Scripture the authors regularly highlight the most important concept of a literary unit by using key repeated words, known as lead words. In this seventh cycle of the melody, which goes from the voice in the sky bringing life to Hagar and Ishmael, through the binding of Isaac, the primary lead word is clearly sheva. The same Hebrew letters of sheva, שבע, form multiple Hebrew words. Think of it like the English letters lead, which has multiple meanings: lead the way, pencil lead, or leader. The Hebrew word sheva, שבע, means seven, oath, and, later, completion, making it a very significant word. Perhaps you've noticed the number 7 gets used a lot."
Extra Sheva Observations,extra-sheva-observations,modified,0.66,"The sheva theme is everywhere. The cycle opens with Hagar and Ishmael at Beer-Sheva, the Well of Seven. The middle section with Avimelek takes place at Beer-Sheva, centered on an oath, a sheva. Then, after the mountain in Moriah, the literary unit ends with Avraham dwelling in Beer-Sheva. The start, middle, and end are all at Beer-Sheva. Everything points to Yahweh's culminating sheva. Each section also makes significant use of Hebrew words that share the root letters of sheva, שבע, which means seven, oath, and, later, completion. Here is an example of the overflowing use of sheva words from Genesis 21:28-32, a seemingly insignificant passage.","The sheva theme is everywhere in this melody cycle. The Creation notes opens with Hagar and Ishmael at Beer-Sheva, the Well of Seven. The middle section with Avimelek takes place at Beer-Sheva, centered on an oath, a sheva. Then, after the mountain in Moriah, the literary unit ends with Avraham dwelling in Beer-Sheva. The start, middle, and end are all at Beer-Sheva. Everything points to Yahweh's culminating sheva, His oath. In addition to the location, there are more sheva words used in Genesis 21-2 than you might guess. The numbers tell the story:"
Extra Sheva Observations,extra-sheva-observations,added_in_txt,0.00,,And if you focus on only the use of sheva words in cycles 3-7 with Avraham it's almost funny.
Extra Sheva Observations,extra-sheva-observations,added_in_txt,0.00,,"By modern writing standards, the repeated use of sheva borders on excessive, but that's exactly the point. Listeners would hear the word as prominent. Here is one example from Genesis 21:28-32, a ""seemingly"" insignificant passage."
Extra Sheva Observations,extra-sheva-observations,added_in_txt,0.00,,"I'll let you be the judge, did these authors realize this was also the seventh cycle of the melody if you've been counting from the beginning? It is the highly structured Word of God given to us by humans working with the Spirit after all.1"
A Short Farewell Prayer,a-short-farewell-prayer,modified,0.38,"As the thief said on the cross, Jesus, remember us when You come into Your kingdom. We choose to follow you. Let's do it again!",As the thief said on the cross:
A Short Farewell Prayer,a-short-farewell-prayer,added_in_txt,0.00,,"Jesus, remember us when You come into Your kingdom."
A Short Farewell Prayer,a-short-farewell-prayer,added_in_txt,0.00,,We choose to follow you. Let's do it again!
Bibliography,bibliography,modified,0.98,"Patton, Andy. ""Why Did God Flood the World?"" BibleProject, Nov 12, 2019.","6. Patton, Andy. ""Why Did God Flood the World?"" BibleProject, Nov 12, 2019."
Bibliography,bibliography,added_in_txt,0.00,,"I really like this forward: original and so personal, warm, and inviting!"
Bibliography,bibliography,added_in_txt,0.00,,Super helpful to put these side by side here!
