html_line,old_start,old_end,html_text,new_start,new_end,new_text,match_score,txt_match,txt_score,is_scripture,flag,notes
154,119,125,This guide will focus on reading Genesis 1-22 trying to see patterns.,130,134,This guide will focus on reading Genesis 1 through 23 trying to see patterns.,0.923,,0.517,,TEXT_CHANGED+WHISPER_CHECK,
154,125,129,The goal is to approach the text as a blank slate.,135,138,The goal is to approach the test as a blank slate.,0.980,,0.505,,OK+WHISPER_CHECK,
154,129,135,"To be honest, I’m not capable of doing that either, but it’s important to know the mindset we are seeking for.",139,144,"To be honest, I'm not capable of doing that either, but it's important to know the mindset we're seeking to see.",0.957,,0.410,,TEXT_CHANGED+WHISPER_CHECK,
154,135,140,Shaping the Bible to meet our expectations is rather pointless.,144,149,"Therefore, shaping the Bible to meet our expectations is rather pointless.",0.925,,0.479,,TEXT_CHANGED+WHISPER_CHECK,
154,140,144,"The goal is to open ourselves up, so that we can be shaped by the Bible.",150,154,The goal is to open ourselves up so that we can be shaped by the Bible.,1.000,,0.443,,OK+WHISPER_CHECK,
154,144,149,What would we find there if we tried to read it like little children?,85,91,"When you read the Bible, it's tempting to read only the parts about Jesus and the early church.",0.450,,0.441,,MANUAL_REVIEW,
156,149,160,"The Hebrew Bible, the Old Testament, was carefully written by humans partnering with the work of the Spirit over the course of hundreds of years to make God known to us. 1",168,180,"The Hebrew Bible, the Old Testament, was carefully written by humans, partnering with the work of the Spirit over the course of hundreds of years to make God known to us.",0.994,,0.486,,OK+WHISPER_CHECK,
156,160,168,"As a result, it is a VERY dense, beautiful collection of ancient scrolls with many layers to unpack. Readers who start at the beginning, myself included, see only a small fraction of the depth the authors are communicating.",181,188,"As a result, it is a very dense, beautiful collection of ancient scrolls with many layers done packed.",0.961,,0.535,,TEXT_CHANGED+WHISPER_CHECK,
156,168,181,The goal of this guide is to focus on one significant layer that is often overlooked.,201,205,We'll choose to focus on just one significant layer that is often overlooked.,0.818,,0.394,,LOW_CONFIDENCE+WHISPER_CHECK,
158,181,190,"There is a clear, repeated creation melody that runs throughout the Hebrew Bible and into the New Testament.",206,214,"There is a clear, repeated, creation melody that runs throughout the Hebrew Bible and into the New Testament.",1.000,,0.431,,OK+WHISPER_CHECK,
158,190,198,"Once you have eyes to see and ears to hear how the authors replay the notes, you won’t be able to miss them as you continue to read the Bible.",215,223,"Once you have eyes to see and ears to hear how the authors replay the notes, you won't be able to miss them as you continue to read the Bible.",1.000,,0.455,,OK+WHISPER_CHECK,
158,198,210,"This song starts with God bringing about creation , life, and blessing. Then, characteristic human choices and division cause things to come to a head in a collapse .",223,234,"This song starts with God bringing about creation, life and blessing, then characteristic human choices and division, cause things to come to a head and a collapse.",0.991,,0.388,,OK+WHISPER_CHECK,
158,210,218,"God, however, uses collapse to once again bring about creation , life, and blessing from non-life.",235,242,"God, however, uses a collapse to once again bring about creation, life, and blessing from the non-life.",0.968,,0.410,,TEXT_CHANGED+WHISPER_CHECK,
158,218,226,"Understanding how God brings about and sustains life is foundational not just in the Bible, but in our own lives as well.",244,252,"Understanding how God continually brings about and sustains life is foundational, not just in the Bible, but in our own lives as well.",0.952,,0.385,,TEXT_CHANGED+WHISPER_CHECK,
158,226,234,"So the authors provide a decoder ring, beginning on page one, to unlock the rest of the story.",253,261,So the authors of the Bible provided a coderring beginning on page 1 to unlock the rest of the story.,0.890,,0.434,,TEXT_CHANGED+WHISPER_CHECK,
158,234,244,"Since this repeated pattern is about creation, a genesis, and since it is easily seen in the scroll of Genesis, we call it The Genesis Melody .",287,299,"So when choosing a title for a repeated creation pattern, a Genesis, that is easily seen in the scroll of Genesis, it seemed only fitting to call it the Genesis melody.",0.695,,0.431,,LOW_CONFIDENCE+WHISPER_CHECK,
158,244,251,"However, don’t be fooled! The author of life keeps creating well beyond the pages of Genesis.",300,306,"However, don't be fooled, the author of life keeps creating well beyond the pages of Genesis.",1.000,,0.473,,OK+WHISPER_CHECK,
162,251,252,Background,775,775,Patternbreakers.,0.320,Background,1.000,,HEADING_SKIP,
163,251,259,"The melody is discussed at length in the BibleProject Genesis Classroom series, namely, these five courses:",308,317,"Background The melody is discussed at length in the Bible Project Genesis classroom series, namely these five courses.",0.945,"The melody is discussed at length in the BibleProject Genesis Classroom series, namely, these five courses:",1.000,,TEXT_CHANGED,
205,266,277,"The most succinct summaries of what Tim Mackie calls “The Melody” are found in session 11 of the Abraham class, titled The Genesis 1-11 Melody Repeats",325,343,"The most succinct summaries of what Tim Mackey calls the melody are found in Session 11 of the Abraham class titled The Genesis 1 through 11 melody repeats, or in Sessions 2 and 3 of the Jacob class, the thematic melody of Genesis 1 through 9,",0.746,,0.427,,LOW_CONFIDENCE+WHISPER_CHECK,
205,277,291,", or sessions 2 and 3 of the Jacob class, The Thematic Melody of Genesis 1-9 and Abraham Replays the Melody . However, if you are new to the melody concept, it’s best to start from the beginning",343,346,and Abraham replays the melody.,0.749,,0.394,,LOW_CONFIDENCE+WHISPER_CHECK,
205,291,308,". Through his studies, Tim began to see how the authors replayed similar concepts, often in the same order, that felt like the melody of a song. It emerged after years of teaching, exploring commentaries, and discussing the text with reading communities.",353,370,"Through his studies, Tim began to see how the authors replayed similar concepts, often in the same order, that felt like the melody of a song, and emerged after years of teaching, exploring commentaries, and discussing the text with reading communities.",0.990,,0.417,,OK+WHISPER_CHECK,
205,308,316,"This guide builds on those insights, to lay out the melody for you and help us all meditate on the purpose.",371,378,"This guide builds on those insights, to lay out the melody for you, and help us all meditate on the purpose.",1.000,,0.405,,OK+WHISPER_CHECK,
205,316,322,What were these authors communicating by intentionally structuring the text in this way?,379,384,What were these authors communicating by intentionally structuring the text in this way?,1.000,,0.386,,OK+WHISPER_CHECK,
206,322,324,Why Study the Melody,388,389,Why study the melody?,1.000,Why Study the Melody,1.000,,HEADING_SKIP,
207,324,328,What is the value in seeing the structure of the melody?,391,393,What is the value in seeing the structure of the melody?,1.000,,0.532,,OK+WHISPER_CHECK,
207,328,336,The main focus in the Genesis courses is how the repeated notes should be ringing in our ears to link parts of the melody.,394,401,The main focus in the Genesis courses is how the repeated notes should be ringing in our ears to link parts of the melody.,1.000,,0.412,,OK+WHISPER_CHECK,
207,336,347,"Parallel stories might be separated by many chapters, but with only a few distinct notes the authors can put them side-by-side in your mind. 2",402,412,"Parallel stories might be separated by many chapters, but with only a few distinct notes, the authors can put them side by side in your mind.",0.986,,0.379,,OK+WHISPER_CHECK,
207,347,350,"One story informs the other, and both benefit from the connection.",413,416,"One story informs the other, and both benefit from the connection.",1.000,,0.468,,OK+WHISPER_CHECK,
207,350,356,Let’s take a short but deep dive to consider one specific example:,417,426,"Let's take a short, but deep dive to consider one specific example, Genesis 3 6 through 7a.",0.848,,0.429,,LOW_CONFIDENCE+WHISPER_CHECK,
207,356,365,Genesis 3:6–7a. You probably know this text well. Notice the key words as you read it again.,426,432,"You probably know this text well, notice the key words as you read it again.",0.919,,0.406,,TEXT_CHANGED+WHISPER_CHECK,
209,365,380,"3:6 and the woman saw that the tree was good for eating ,",433,444,"And the woman saw that the tree was good for reading, and that it was desirable to the eyes, and that the tree was desirable to make one wise.",0.518,"3:6 and the woman saw that the tree was good for eating,",1.000,YES,SCRIPTURE_OK,
210,365,380,"and that it was desirable to the eyes ,",538,540,And Abram listened to the voice of Sarah.,0.494,"and that it was desirable to the eyes,",1.000,YES,SCRIPTURE_OK,
212,365,380,"and that the tree was desirable to make one wise ,",433,444,"And the woman saw that the tree was good for reading, and that it was desirable to the eyes, and that the tree was desirable to make one wise.",0.513,"and that the tree was desirable to make one wise,",1.000,YES,SCRIPTURE_OK,
217,380,389,"and she gave also to her husband with her, and he ate .",444,455,"And she took from its fruit, and she ate, and she gave also to her husband with her, and he ate, and the eyes of both of them were opened.",0.562,"and she gave also to her husband with her, and he ate.",1.000,YES,SCRIPTURE_OK,
222,389,396,The best way to hear what the authors are communicating in this passage is not to focus on these words alone.,457,473,"The best way to hear what the authors are communicating in this passage is not to focus on these words alone, and isolation these words have some value, but to fully grasp the verse you have to spend time thinking about how it connects to the greater narrative.",0.590,,0.410,,MANUAL_REVIEW,
222,396,405,"In isolation, these words have some value, but to fully grasp the verse, you have to spend time thinking about how it connects to the greater narrative.",457,473,"The best way to hear what the authors are communicating in this passage is not to focus on these words alone, and isolation these words have some value, but to fully grasp the verse you have to spend time thinking about how it connects to the greater narrative.",0.532,,0.415,,MANUAL_REVIEW,
222,405,412,"As we will soon discuss, this verse is a Choice in the first round of the melody.",474,479,"As we will soon discuss, this verse is a choice, in the first round of the melody.",1.000,,0.542,,OK+WHISPER_CHECK,
222,412,422,"Let’s compare it to the Choice in Melody four, Genesis 16:2–4, by reading the story of Sarai, Avram, and Hagar.",479,488,"Let's compare it to the choice in melody 4, Genesis 16 2 through 4, by reading the story of Sarah I, Abram, and Hagar.",0.912,,0.403,,TEXT_CHANGED+WHISPER_CHECK,
222,422,428,"Note, Avram is just an alternative spelling of Abram, who will later be renamed Abraham.",489,495,"Note, Abram is just an alternative spelling of Abram, who will later be renamed Abraham.",0.988,,0.418,,OK+WHISPER_CHECK,
222,428,436,"In the BibleProject translation, you will see a few surprising spellings to help us more faithfully pronounce the original Hebrew names.",496,504,"In the Bible Project translation, you will see a few surprising spellings to help us more faithfully pronounce the original Hebrew names.",0.996,,0.645,,OK+WHISPER_CHECK,
222,436,443,"Additionally, Yahweh, God’s personal name, is used when appropriate instead of translating it to God or LORD .",505,512,"Additionally, Yahweh, God's personal name, is used when appropriate, instead of translating it to God or Lord.",1.000,,0.366,,OK+WHISPER_CHECK,
222,443,448,"If that makes you feel uncomfortable, just replace “Yahweh” with “God” as you read (that’s fine).",513,517,"If that makes you feel uncomfortable, just replace Yahweh with God as you read that spine.",0.977,,0.409,,OK+WHISPER_CHECK,
224,448,454,Notice the repeated words here that echo the Eden passage above.,518,522,Notice the repeated words here that echo the Eden passage above.,1.000,Notice the repeated words here that echo the Eden passage above.,1.000,,OK,
225,454,468,"16:2 And Sarai said to Avram , “Look, please! Yahweh has restrained me from giving birth . Please, go into my slave-girl . Perhaps I can be built up by means of her.” And Avram listened to the voice of Sarai .",524,537,"And Sarah I said to Abram, look, please, Yahweh has restrained me from giving birth. Please go into my slave-girl. Perhaps I can be built up by means of her.",0.969,,0.437,YES,SCRIPTURE_OK,
233,472,487,"3 And Sarai, the wife of Avram took Hagar, her Egyptian slave-girl , at the end of ten years of Avram dwelling in the land of Canaan, and she gave her to Avram her husband as a wife .",541,556,"And Sarah I, the wife of Abram, took Hagar her Egyptian slave at the end of ten years of Abram dwelling in the land of Canaan, and she gave her to Abram her husband as a wife.",0.960,,0.529,YES,SCRIPTURE_OK,
238,487,499,"4 And he went into Hagar and she became pregnant , and she saw that she was pregnant , and her mistress became cursed in her eyes .",557,567,"And he went into Hagar, and she became pregnant, and she saw that she was pregnant, and her mistress became cursed in her eyes.",0.992,,0.555,YES,SCRIPTURE_OK,
246,499,506,The reuse pattern goes from taking a piece of fruit to taking an image of God. That escalated quickly!,569,575,"The reuse pattern goes from taking a piece of fruit to taking an image of God, that escalated quickly.",1.000,,0.449,,OK+WHISPER_CHECK,
246,506,512,"These two Choices are separated by 13 chapters, but they are clear hyperlinks.",576,581,"These two choices are separated by thirteen chapters, but they are clear hyperlinks.",0.937,,0.438,,TEXT_CHANGED+WHISPER_CHECK,
246,512,517,"If you set them alongside one another, you can see how they are similar and how they are different.",582,586,"If you set them alongside one another, you can see how they are similar and how they are different.",1.000,,0.443,,OK+WHISPER_CHECK,
246,517,531,"Additionally, they are both inversions of an earlier Choice pattern from Genesis 2:18–22, where God himself sees what is not good , then takes , builds , and gives .",587,601,"Additionally, they are both in versions of an earlier choice pattern from Genesis 2 18-22, where God Himself sees what is not good, then takes, builds, and gives.",0.994,,0.465,,OK+WHISPER_CHECK,
246,531,537,Let’s read that story and consider how all three passages inform one another.,602,607,Let's read that story and consider how all three passages inform one another.,1.000,,0.478,,OK+WHISPER_CHECK,
253,537,546,I will make a help-counterpart for him,615,624,"I will make a help counter-part for Him, and Yahweh caused to fall asleep on the human, and He slept.",0.552,I will make a help-counterpart for him,1.000,YES,SCRIPTURE_OK,
256,546,569,"… 21 and Yahweh caused to fall a deep sleep on the human and he slept and he took one from his sides and he closed the flesh of its place 22 and Yahweh built the side which he took from the human into woman , and he brought her to the human",615,624,"I will make a help counter-part for Him, and Yahweh caused to fall asleep on the human, and He slept.",0.866,,0.447,YES,SCRIPTURE_OK,
266,569,574,The authors signal connections through both word repetition and shared symbols. 2,640,646,The author's signal connections through both repeated words and shared symbols.,0.854,,0.432,,TEXT_CHANGED+WHISPER_CHECK,
266,574,585,"They are clues to help us become better readers, and it’s remarkable the depth of understanding your group can reach as you hold repeated stories in your mind.",646,656,"They are clues to help us become better readers, and it's remarkable the depth of understanding your group can reach as you hold repeated stories in your mind.",1.000,,0.338,,OK+WHISPER_CHECK,
266,585,592,"God saw good , tov, טוב, in Genesis 1 seven times, ending in a “very good.”",656,662,"God saw good, tove, and Genesis 1 seven times, ending in a very good.",0.939,,0.441,,TEXT_CHANGED+WHISPER_CHECK,
266,592,599,"Humans, however, characteristically see what is good for themselves in their own eyes:",663,669,"Humans, however, characteristically, see what is good for themselves and their own eyes.",0.982,,0.459,,OK+WHISPER_CHECK,
266,599,610,"we take and eat (an image to consume in this case), then give (send out non-life choices), as shown in 3:6 and 16:3.",669,679,"We take and eat an image to consume in this case, and then give, send out non-life choices, as shown in 3 6 and 16 3.",0.972,,0.411,,OK+WHISPER_CHECK,
266,610,620,"But God sees what is not good : He takes and builds (multiplies abundance), then gives (sends out life).",680,684,"But God sees what is not good, something in our world that is broken.",0.835,,0.392,,LOW_CONFIDENCE+WHISPER_CHECK,
266,620,626,Both the similarities and the differences pop out as significant when you compare rounds of the melody.,691,697,Both the similarities and the differences pop out as significant when you compare arounds of the melody.,0.995,,0.403,,OK+WHISPER_CHECK,
266,626,641,"Finally, in both human replays, the male character is said to have “listened to the voice of his wife,” instead of trusting God. Who will you trust to receive the knowledge of good and bad?",698,712,"Finally, in both human replays, the male character is said to have listened to the voice of his wife, instead of trusting God, who will you trust to receive the knowledge of good and bad?",1.000,,0.377,,OK+WHISPER_CHECK,
267,641,642,Structure,714,715,Structure.,1.000,Structure,1.000,,HEADING_SKIP,
268,641,657,"For the purposes of this guide, we will consider a four-part melody that is repeated seven times from Genesis 1 to 22: Creation (C1), Choice (C2), the Division of Relationships (D), and Collapse (C3).",715,725,"For the purposes of this guide, we will consider a four-part melody that is repeated seven times from Genesis 1 through 22.",0.956,,0.494,,TEXT_CHANGED+WHISPER_CHECK,
268,657,666,The repeated pattern can be broken down in many ways and variations are welcome as we all understand the Hebrew authors slightly differently.,733,741,"The repeated pattern can be broken down in many ways, and variations are welcome as we all understand the Hebrew authors slightly differently.",1.000,,0.398,,OK+WHISPER_CHECK,
268,666,676,"Additionally, as the melody repeats beyond Genesis 22, the authors get more creative with twists and inversions that make this four-part model too strict;",742,751,"Additionally, as the melody repeats beyond Genesis 22, the authors get more creative with twist and inversions that make this four-part melody too strict.",0.980,,0.437,,OK+WHISPER_CHECK,
268,676,683,"however, for our purposes here, it works pretty well. The cycle goes around like a circle.",752,755,"However, for our purposes here, it works pretty well.",1.000,,0.397,,TEXT_CHANGED+WHISPER_CHECK,
271,688,696,"Once you firmly grasp the melody, the stories from Genesis 1 through 23 will lock into place.",765,772,"Once you firmly grasp the melody, the story is from Genesis 1 through 23, will lock into place.",0.984,"Once you firmly grasp the melody, the stories from Genesis 1 through 23 will lock into place.",1.000,,OK,
272,696,702,Pattern Breakers!,775,775,Patternbreakers.,0.968,Pattern Breakers!,1.000,,HEADING_SKIP,
273,702,707,"Now, you might be thinking that this all seems pretty gloom and doom. Is life really an inevitable downward spiral that ends in a collapse?",776,785,"Now you might be thinking that this all seems pretty gloom and doom, is life really an inevitable downward spiral that ends in a collapse?",1.000,,0.448,,OK+WHISPER_CHECK,
273,707,710,That’s depressing. No! Of course not.,785,786,That's depressing.,1.000,,0.522,,TEXT_CHANGED+WHISPER_CHECK,
273,710,714,"This is the characteristic human pattern, NOT the way to life.",789,793,"This is the characteristic human pattern, not the way to life.",1.000,,0.547,,OK+WHISPER_CHECK,
273,714,719,I think these authors love to make patterns just to break them.,794,797,I think these authors love to make patterns just to break them.,1.000,,0.473,,OK+WHISPER_CHECK,
273,719,724,"Let’s look at Genesis 5 for a moment, which uses a very clear pattern.",798,802,"Let's look at Genesis 5 for a moment, which uses a very clear pattern.",1.000,,0.448,,OK+WHISPER_CHECK,
273,724,731,"The text below is super long, but I bet you can see the point I’m making about pattern breaking in two seconds.",803,809,"The text below is super long, but I bet you can see the point I'm making about pattern breakingers in about two seconds.",0.960,,0.382,,TEXT_CHANGED+WHISPER_CHECK,
275,731,752,"15 And Mahalalel lived sixty-five years , and he caused the birth of Jared. 16 And Mahalalel lived eight hundred and thirty years after he became the father of Jared, and he caused the birth of sons and daughters. 17 And all the days of Mahalalel were eight hundred and ninety-five years, and he died .",839,847,"And Jared lived 800 years after he became the father of Enoch, and he caused the birth of other sons and daughters.",0.629,,0.467,YES,SCRIPTURE_OK,
281,752,776,"18 And Yared lived one hundred and sixty-two years , and he caused the birth of Enoch. 19 And Yared lived eight hundred years after he became the father of Enoch, and he caused the birth of sons and daughters. 20 And all the days of Yared were nine hundred and sixty-two years, and he died.",832,838,"And Jared lived 162 years, and he caused the birth of Enoch.",0.698,,0.417,YES,SCRIPTURE_OK,
287,776,800,"21 And Enoch lived sixty-five years, and he caused the birth of Methuselah, 22 and Enoch walked with God three hundred years after he became the father of Methuselah, and he caused the birth of sons and daughters, 23 and all the days of Enoch were three hundred and sixty-five years, 24 and Enoch walked with God; and he was not, for God took him .",857,864,And Enoch walked with God 300 years after he became the father of Mathusela.,0.621,,0.418,YES,SCRIPTURE_OK,
294,798,803,The point is NOT the pattern. The point is the pattern breakers!,878,880,The point is not the pattern.,1.000,,0.526,,TEXT_CHANGED+WHISPER_CHECK,
294,803,809,"As we listen for the notes in the melody, be especially on the lookout for pattern breaker moments.",883,889,"As we listened for the notes in the melody, be especially on the lookout for pattern breaker moments.",0.990,,0.474,,OK+WHISPER_CHECK,
294,809,816,"God can work through characteristic human choices, but see what God can do with the pattern breakers.",890,897,"God can work through characteristic human choices, but see what God can do with the pattern breakers.",1.000,,0.461,,OK+WHISPER_CHECK,
294,816,822,"People who choose to listen to God’s voice get an opportunity to become partners in creation,",898,904,"People who choose to listen to God's voice, get an opportunity to become partners in creation.",1.000,,0.398,,OK+WHISPER_CHECK,
294,822,828,"not just in Genesis 1-23, but throughout the Bible. But I’m getting ahead of myself.",905,908,"Not just in Genesis 1 through 23, but throughout the Bible.",0.946,,0.439,,TEXT_CHANGED+WHISPER_CHECK,
294,828,832,"First, we need to see the pattern.",911,913,"First, we need to see the pattern.",1.000,,0.472,,OK+WHISPER_CHECK,
295,832,835,Melody Observations,916,917,Melody observations.,1.000,Melody Observations,1.000,,HEADING_SKIP,
297,835,840,"This middle section is the most academic, but also the heart of this guide.",919,924,"This middle section is the most academic, but also the heart of this guide.",1.000,,0.426,,OK+WHISPER_CHECK,
297,840,846,"If you are a person who spends time in biblical scholarship, to you I say “Enjoy!”",925,930,"If you are a person who spends time in biblical scholarship, to U.I.A. enjoy.",0.960,,0.420,,TEXT_CHANGED+WHISPER_CHECK,
297,846,853,"However, if you are a normal person without a rich background in Bible study, then to you I say “You can do it!”",931,937,"However, if you are a normal person without a rich background in Bible study, then to U.I.A. you can do it.",0.971,,0.394,,OK+WHISPER_CHECK,
297,853,866,Try to be like the people Paul met in Berea in Acts 16:11: “They received the message with great eagerness and examined the Scriptures every day to see if what Paul said was true.”,938,942,Try to be like the people Paul Metin-Beria in Acts 1611.,0.974,,0.573,,TEXT_CHANGED+WHISPER_CHECK,
298,866,870,Genesis 1-7: The Melody Template,951,954,"Genesis 1 through 7, the melody template.",0.870,Genesis 1-7: The Melody Template,1.000,,TEXT_CHANGED,
299,870,880,"Instead of abstractly describing the characteristics of the notes, let’s look at the template of The Genesis Melody provided in Genesis 1-7.",956,965,"Instead of abstractly describing the characteristics of the notes, let's look at the template of the Genesis melody provided in Genesis 1 through 7.",0.968,,0.473,,TEXT_CHANGED+WHISPER_CHECK,
303,880,888,These early chapters of Genesis are intentionally placed at the start of this massive collection as an introduction to the entire work.,966,974,These early chapters of Genesis are intentionally placed at the start of this massive collection as an introduction to the entire work.,1.000,,0.369,,OK+WHISPER_CHECK,
305,888,893,They will plant seeds for themes that will take volumes to fully unpack.,975,979,They will plant seeds for themes that will take volumes down path.,0.882,,0.432,,TEXT_CHANGED+WHISPER_CHECK,
307,893,901,"If we allow them to properly shape our imagination and world view, we will become better Bible readers.",979,985,"If we allow them to properly shape our imagination and worldview, we will become better Bible readers.",0.995,,0.415,,OK+WHISPER_CHECK,
311,901,909,"Work was necessary for the biblical authors to share God's message with us, and work is required to receive it today.",987,995,"Work was necessary for the biblical authors to share God's message with us, and work is necessary to receive it today.",0.934,,0.391,,TEXT_CHANGED+WHISPER_CHECK,
311,909,918,How would Jesus have expressed this point? In John 4:37-38 Jesus quotes an unusual phrase:,996,998,How would Jesus have expressed that point?,0.966,,0.375,,TEXT_CHANGED+WHISPER_CHECK,
311,918,929,"""Thus the saying 'One sows and another reaps' is true... Others have done the hard work, and you have reaped the benefits of their labor.""",1006,1014,"Thus the saying, one so's and another reaps is true, others have done the hard work, and you have reaped the benefits of their labor.",0.996,,0.381,,OK+WHISPER_CHECK,
311,929,940,"Parables can have more than one meaning, a common Hebrew Bible technique, but, for our theme study, the seed sown represents the Wisdom of God planted in His Word.",1015,1026,"Parables can have more than one meaning, a common Hebrew Bible technique, but for our theme study, the seed zone represents the wisdom of God planted in his word.",0.987,,0.355,,OK+WHISPER_CHECK,
311,940,948,"These authors have worked with the Spirit to plant the key insights, but communication requires work from both the speaker and the listener.",1027,1036,"These authors have worked with the Spirit to plant the key insights, but communication requires work from both the speaker and the listener.",1.000,,0.352,,OK+WHISPER_CHECK,
311,948,958,"We have to put in time together with the Spirit to convert words into a relationship, so that we can live in a right relationship with Him.",1036,1045,We have to put in time together with the Spirit to convert these words into a relationship so that we can live in right relationship with Him.,0.971,,0.352,,OK+WHISPER_CHECK,
311,958,969,"The authors use analogies that we can understand, like seed or light, but it all centers around taking on God's view of reality as truth.",1046,1056,"The authors use analogies that we can understand like seed or light, but it all centers around taking on God's view of reality as truth.",1.000,,0.344,,OK+WHISPER_CHECK,
311,969,976,"The only way to reap this freely given fruit is by meditating on it over time, then living it out in our lives.",1057,1064,The only way to reap this freely given fruit is by meditating on it over time and then living it out in our lives.,0.982,,0.359,,OK+WHISPER_CHECK,
311,976,984,Let's get started by looking for the four-part melody in Genesis 1-7 using the table below.,1064,1071,Let's get started by looking for the four-part melody in Genesis 1 through 7 using the table below.,0.951,,0.432,,TEXT_CHANGED+WHISPER_CHECK,
